Frame,Time,F0
781,7.8100000000000005,286.0
782,7.82,264.0
783,7.83,264.0
784,7.84,264.0
785,7.8500000000000005,264.0
786,7.86,264.0
787,7.87,245.0
788,7.88,245.0
789,7.890000000000001,245.0
790,7.9,245.0
791,7.91,245.0
792,7.92,223.0
793,7.930000000000001,223.0
794,7.94,223.0
795,7.95,223.0
796,7.96,208.0
797,7.97,208.0
798,7.98,208.0
799,7.99,0.0
800,8.0,0.0
801,8.01,0.0
802,8.02,0.0
803,8.03,0.0
804,8.040000000000001,0.0
805,8.05,0.0
806,8.06,0.0
807,8.07,259.0
808,8.08,259.0
809,8.09,259.0
810,8.1,252.0
811,8.11,252.0
812,8.120000000000001,252.0
813,8.13,252.0
814,8.14,252.0
815,8.15,288.0
816,8.16,288.0
817,8.17,288.0
818,8.18,288.0
819,8.19,288.0
820,8.2,288.0
821,8.21,286.0
822,8.22,286.0
823,8.23,286.0
824,8.24,286.0
825,8.25,281.0
826,8.26,281.0
827,8.27,281.0
828,8.28,281.0
829,8.290000000000001,281.0
830,8.3,260.0
831,8.31,260.0
832,8.32,260.0
833,8.33,0.0
834,8.34,0.0
835,8.35,0.0
836,8.36,0.0
837,8.370000000000001,0.0
838,8.38,0.0
839,8.39,0.0
840,8.4,215.0
841,8.41,215.0
842,8.42,215.0
843,8.43,215.0
844,8.44,196.0
845,8.45,196.0
846,8.46,196.0
847,8.47,196.0
848,8.48,196.0
849,8.49,237.0
850,8.5,237.0
851,8.51,237.0
852,8.52,237.0
853,8.53,237.0
854,8.540000000000001,235.0
855,8.55,235.0
856,8.56,235.0
857,8.57,235.0
858,8.58,242.0
859,8.59,242.0
860,8.6,242.0
861,8.61,242.0
862,8.620000000000001,242.0
863,8.63,242.0
864,8.64,0.0
865,8.65,0.0
866,8.66,0.0
867,8.67,0.0
868,8.68,0.0
869,8.69,0.0
870,8.700000000000001,0.0
871,8.71,0.0
872,8.72,0.0
873,8.73,0.0
874,8.74,0.0
875,8.75,0.0
876,8.76,0.0
877,8.77,208.0
878,8.78,208.0
879,8.790000000000001,208.0
880,8.8,208.0
881,8.81,208.0
882,8.82,173.0
883,8.83,173.0
884,8.84,173.0
885,8.85,173.0
886,8.86,173.0
887,8.870000000000001,234.0
888,8.88,234.0
889,8.89,234.0
890,8.9,234.0
891,8.91,234.0
892,8.92,225.0
893,8.93,225.0
894,8.94,225.0
895,8.950000000000001,225.0
896,8.96,225.0
897,8.97,229.0
898,8.98,229.0
899,8.99,229.0
900,9.0,229.0
901,9.01,207.0
902,9.02,207.0
903,9.03,207.0
904,9.040000000000001,207.0
905,9.05,210.83333333333334
906,9.06,214.66666666666669
907,9.07,218.50000000000003
908,9.08,222.33333333333337
909,9.09,226.1666666666667
910,9.1,230.0
911,9.11,243.0
912,9.120000000000001,243.0
913,9.13,243.0
914,9.14,243.0
915,9.15,243.0
916,9.16,263.0
917,9.17,263.0
918,9.18,263.0
919,9.19,250.66666666666666
920,9.200000000000001,238.33333333333331
921,9.21,226.0
